Order_ID,Order_Date,Region,Product_Category,Marketing_Spend,Website_Visits,Orders,Revenue,Return_Rate,Delivery_Days,Customer_Rating,Payment_Mode,Discount_Percent,Shipping_Cost,Customer_Segment,Repeat_Customer
ORD10001,2025-01-14,West,Shoes,6091,8764,394,739932,14.0,7,3.2,Net Banking,17,217,Regular,No
ORD10002,2025-03-29,North,Watches,3881,16190,265,857805,2.7,2,4.6,UPI,12,121,Regular,Yes
ORD10003,2025-01-23,East,Shoes,3792,18993,294,590352,7.5,1,4.3,UPI,33,91,Budget,Yes
ORD10004,2025-02-06,South,Shoes,8732,14055,326,904976,11.1,6,2.6,UPI,13,200,Regular,No
ORD10005,2025-03-29,East,Watches,2551,13524,408,1377000,3.7,3,4.9,Debit Card,25,211,Budget,Yes
ORD10006,2025-05-18,East,Clothing,4034,15356,188,628672,4.9,4,4.3,UPI,25,126,Regular,Yes
ORD10007,2025-06-18,West,Watches,6380,16080,170,408850,12.7,6,4.2,Debit Card,28,196,Budget,Yes
ORD10008,2025-03-28,North,Watches,5906,17294,273,498498,4.3,1,4.4,COD,33,170,Regular,Yes
ORD10009,2025-05-17,North,Bags,5630,17321,364,828828,8.3,4,5.0,COD,22,203,Premium,Yes
ORD10010,2025-05-18,East,Electronics,2680,7166,214,585076,5.6,4,4.8,Credit Card,11,85,Regular,Yes
ORD10011,2025-06-25,West,Electronics,5001,8779,338,651664,15.0,7,3.9,UPI,21,170,Premium,No
ORD10012,2025-04-21,North,Clothing,2800,15955,357,1106700,6.8,4,4.2,Credit Card,17,87,Regular,Yes
ORD10013,2025-05-01,North,Clothing,4196,12707,186,578088,4.0,3,4.1,Debit Card,25,121,Premium,No
ORD10014,2025-06-23,South,Bags,8047,8284,391,1206235,9.1,5,4.0,Debit Card,6,212,Budget,No
ORD10015,2025-03-20,South,Bags,6509,9072,316,787156,10.3,7,3.5,COD,21,110,Budget,No
ORD10016,2025-04-09,East,Shoes,4362,17951,185,465275,1.0,2,4.4,Credit Card,19,195,Regular,Yes
ORD10017,2025-01-08,South,Clothing,8569,15467,311,914029,10.6,6,2.9,Net Banking,9,167,Premium,No
ORD10018,2025-05-20,West,Watches,6392,8521,154,377608,15.7,8,4.0,Credit Card,12,132,Regular,No
ORD10019,2025-04-12,North,Clothing,3307,15276,231,774312,6.0,1,4.5,COD,33,84,Regular,Yes
ORD10020,2025-05-25,South,Shoes,6298,8372,267,783645,12.6,8,3.2,Net Banking,22,114,Premium,No
ORD10021,2025-05-04,East,Electronics,3552,18694,393,1373928,2.4,1,4.3,Credit Card,23,204,Regular,Yes
ORD10022,2025-02-27,South,Clothing,8679,19951,333,1014651,13.1,4,3.4,Net Banking,20,167,Premium,No
ORD10023,2025-06-26,North,Bags,3982,17960,399,1061739,5.0,4,4.6,COD,15,171,Regular,Yes
ORD10024,2025-03-29,South,Watches,8301,8023,395,1046355,12.8,7,4.6,Credit Card,17,208,Premium,Yes
ORD10025,2025-05-24,East,Bags,3712,9004,412,965316,8.4,1,4.8,Credit Card,21,234,Premium,Yes
ORD10026,2025-04-08,North,Clothing,3722,8760,299,889226,3.4,4,4.1,COD,29,163,Budget,No
ORD10027,2025-04-25,West,Electronics,7340,12636,243,781002,10.4,8,4.3,Net Banking,19,208,Regular,Yes
ORD10028,2025-03-28,North,Watches,2581,14014,349,982784,6.6,1,4.5,Debit Card,28,113,Budget,Yes
ORD10029,2025-01-11,East,Clothing,3834,13058,408,918816,7.6,2,4.8,Debit Card,24,88,Budget,Yes
ORD10030,2025-06-03,West,Clothing,6313,18957,278,629948,14.1,4,4.2,Credit Card,27,96,Regular,Yes
ORD10031,2025-02-13,East,Bags,2677,16946,183,515511,6.2,4,4.3,COD,26,122,Premium,Yes
ORD10032,2025-03-10,South,Clothing,6240,15189,401,1105557,9.3,5,3.7,Net Banking,12,152,Premium,No
ORD10033,2025-01-27,East,Clothing,5807,10199,313,606594,6.2,3,4.9,Debit Card,25,180,Regular,Yes
ORD10034,2025-01-29,North,Clothing,5619,17716,291,831969,4.7,4,4.5,Debit Card,16,119,Premium,Yes
ORD10035,2025-02-19,South,Watches,6001,10410,198,519948,12.4,4,3.1,UPI,34,86,Regular,No
